epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1594.76,0.05336,0.99659,1,0.00945,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1627.27,0.04543,0.99659,1,0.0109,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1659.45,0.04543,0.99611,1,0.013,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1691.78,0.04209,0.99659,1,0.01353,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1724.14,0.04783,0.99659,1,0.01834,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1756.65,0.04661,0.99562,1,0.0168,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1788.74,0.04814,0.99416,1,0.01642,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1821.34,0.04403,0.99562,1,0.01378,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1853.67,0.04468,0.99513,1,0.01495,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1886.16,0.04536,0.99416,1,0.02035,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1918.09,0.04596,0.99416,1,0.01599,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1950.28,0.0506,0.99464,1,0.01568,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1982.27,0.04274,0.99708,1,0.012,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2014.45,0.04227,0.99611,1,0.01058,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2046.56,0.03664,0.99562,1,0.013,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2078.64,0.05155,0.99611,1,0.0138,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2110.84,0.0334,0.99659,1,0.00918,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2142.87,0.03479,0.99611,1,0.0115,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2175,0.04522,0.99611,1,0.01126,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2207.12,0.04263,0.99659,1,0.01121,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2239.41,0.02672,0.99611,1,0.01169,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2271.36,0.03962,0.99562,1,0.01565,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2303.53,0.04722,0.99513,1,0.01645,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2335.52,0.03326,0.99513,1,0.01364,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2367.82,0.0308,0.99708,1,0.00908,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2399.98,0.03099,0.99562,1,0.01039,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2432.35,0.0289,0.99611,1,0.00789,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2464.65,0.03101,0.99611,1,0.0078,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2496.59,0.04011,0.99562,1,0.01566,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2528.59,0.0356,0.99513,1,0.01503,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2560.47,0.0299,0.99611,1,0.0113,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2592.65,0.03165,0.99659,1,0.00973,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2624.52,0.02928,0.99708,1,0.0097,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2656.71,0.02508,0.99659,1,0.00995,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2688.3,0.02942,0.99659,1,0.0099,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2720.93,0.02294,0.99513,1,0.01334,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2753.4,0.03884,0.99513,1,0.01115,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,2786,0.02343,0.99513,1,0.01204,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,2818.27,0.03024,0.99562,1,0.01044,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,2850.89,0.024,0.99611,1,0.00962,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,2883.25,0.02417,0.99611,1,0.00936,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,2915.78,0.02659,0.99708,1,0.00917,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2948.42,0.01891,0.99659,1,0.00944,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2980.88,0.02571,0.99611,1,0.00999,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3013.63,0.02281,0.99611,1,0.01006,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3046.22,0.01944,0.99757,1,0.00937,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3078.89,0.02363,0.99757,1,0.00957,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3111.23,0.02044,0.99757,1,0.00982,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3143.71,0.02322,0.99708,1,0.00982,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3176.27,0.02253,0.99708,1,0.00929,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3208.96,0.01993,0.99708,1,0.00959,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3241.22,0.01854,0.99708,1,0.01037,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
