epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,8064.73,0.03262,0.99416,1,0.02195,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8228.47,0.03164,0.99416,1,0.02329,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8391.98,0.02408,0.99416,1,0.02405,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8555.45,0.03368,0.99464,1,0.02327,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8718.9,0.02812,0.99659,1,0.01282,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8882.87,0.0214,0.99513,1,0.0223,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9046.27,0.02651,0.99513,1,0.02554,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9209.97,0.02653,0.99708,1,0.01544,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9374.09,0.02709,0.99611,1,0.01297,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9538.32,0.02862,0.99757,1,0.01031,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9701.59,0.02526,0.99562,1,0.01578,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9865.09,0.01886,0.99562,1,0.01488,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10028.5,0.02289,0.99611,1,0.01334,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10192.3,0.02866,0.99464,1,0.02159,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10355.5,0.02271,0.99513,1,0.01695,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10519.3,0.02224,0.99464,1,0.03677,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10683.3,0.0246,0.99416,1,0.02338,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10846.9,0.01912,0.99513,1,0.02418,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11010.5,0.03166,0.99513,1,0.01859,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11174.1,0.02438,0.99513,1,0.0149,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11337.7,0.01563,0.99513,1,0.01898,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11502,0.01821,0.99562,1,0.01476,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11666.4,0.01701,0.99562,1,0.01534,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11829.8,0.01931,0.99367,1,0.01562,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11993.3,0.01795,0.99562,1,0.01606,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12156.9,0.01755,0.99416,1,0.0201,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12320.1,0.01845,0.9927,1,0.02183,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12483.7,0.01636,0.99416,1,0.01886,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12647.2,0.01598,0.99318,1,0.01967,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12810.7,0.01598,0.99416,1,0.01696,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12973.6,0.01868,0.99416,1,0.01678,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13136.8,0.0214,0.99416,1,0.01752,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13300.2,0.01704,0.99464,1,0.0172,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13463.4,0.01416,0.99562,1,0.01619,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13626.7,0.01887,0.99562,1,0.0164,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13790,0.01755,0.99611,1,0.01657,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13953.3,0.01382,0.99513,1,0.01951,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14116.7,0.0138,0.99513,1,0.01944,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14279.9,0.01129,0.99562,1,0.01684,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14443.3,0.02018,0.99513,1,0.01669,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14606.7,0.01294,0.99513,1,0.0172,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14770.4,0.01442,0.99513,1,0.01854,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,14933.8,0.01704,0.99513,1,0.01753,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15092.4,0.01341,0.99464,1,0.01668,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15249.8,0.01346,0.99513,1,0.01651,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15407.3,0.01118,0.99562,1,0.01619,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15564.5,0.0112,0.99611,1,0.01959,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15721.7,0.0128,0.99611,1,0.01428,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,15879.1,0.01565,0.99611,1,0.01311,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16036.3,0.00933,0.99611,1,0.01327,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16192.9,0.00826,0.99611,1,0.01344,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16349.9,0.01067,0.99562,1,0.01368,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
