epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8705,1.40258,3.34411,1.51814,0.02734,0.64093,0.2496,0.14692,1.12063,3.06586,1.10178,0.00021435,0.00021435,0.00021435
2,29.4254,1.27556,2.57268,1.31473,0.03244,0.65437,0.53828,0.33626,1.11425,2.91886,1.0648,0.000434219,0.000434219,0.000434219
3,45.8785,1.27676,1.72877,1.36144,0.97602,0.30093,0.44583,0.26022,1.33575,3.09676,1.47491,0.000645033,0.000645033,0.000645033
4,63.1464,1.25048,1.32893,1.39464,0.86722,0.51845,0.67348,0.41385,1.23336,2.15862,1.28182,0.000846794,0.000846794,0.000846794
5,80.5695,1.20724,1.22271,1.36869,0.8195,0.61887,0.80118,0.52325,1.18974,1.55693,1.20389,0.0010395,0.0010395,0.0010395
6,103.103,1.15685,1.15714,1.34008,0.84416,0.80289,0.87641,0.54088,1.38046,1.6139,1.30872,0.00122315,0.00122315,0.00122315
7,127.016,1.16837,1.14933,1.31186,0.79666,0.8308,0.8682,0.57911,1.08462,1.06959,1.11741,0.00125923,0.00125923,0.00125923
8,151.474,1.21431,1.1305,1.32616,0.71682,0.84412,0.7909,0.53056,1.0663,1.10265,1.16087,0.00123094,0.00123094,0.00123094
9,175.153,1.13781,1.08164,1.2856,0.76554,0.89159,0.88508,0.5873,1.05836,0.97736,1.1372,0.00120265,0.00120265,0.00120265
10,197.425,1.11727,1.04626,1.24527,0.80983,0.90594,0.9072,0.61463,1.05082,0.96033,1.11264,0.00117435,0.00117435,0.00117435
11,218.402,1.09297,0.99641,1.24635,0.74505,0.82121,0.80734,0.49424,1.28423,1.21704,1.28147,0.00114606,0.00114606,0.00114606
12,242.19,1.10406,0.98988,1.23552,0.78116,0.77948,0.75136,0.48203,1.19936,1.05762,1.14566,0.00111776,0.00111776,0.00111776
13,269.118,1.10855,0.99942,1.23918,0.79762,0.5744,0.56417,0.36524,1.09448,0.92971,1.16871,0.00108947,0.00108947,0.00108947
14,295.743,1.09932,0.97625,1.23646,0.82739,0.55856,0.54654,0.35768,1.08653,0.94687,1.14662,0.00106118,0.00106118,0.00106118
15,325.025,1.09118,0.94508,1.22727,0.75399,0.55863,0.53992,0.36283,1.04924,0.90944,1.11314,0.00103288,0.00103288,0.00103288
16,353.452,1.10151,0.95126,1.22117,0.82386,0.6585,0.64271,0.43369,1.06693,0.88952,1.10942,0.00100459,0.00100459,0.00100459
17,380.723,1.08329,0.9206,1.20925,0.81881,0.69776,0.68906,0.4618,1.05196,0.83042,1.11736,0.000976293,0.000976293,0.000976293
18,408.261,1.08763,0.91179,1.21228,0.8148,0.66104,0.64904,0.43549,1.04075,0.88401,1.12114,0.000947999,0.000947999,0.000947999
19,435.963,1.04762,0.88428,1.19295,0.84526,0.73541,0.72878,0.49126,1.02745,0.94814,1.13094,0.000919704,0.000919704,0.000919704
20,462.747,1.06643,0.90708,1.19378,0.83236,0.83139,0.83323,0.54961,1.09039,0.96533,1.16403,0.00089141,0.00089141,0.00089141
